order_id,customer_id,seller_id,product_id,order_date,order_status,quantity,price_per_unit,payment_date,payment_status,shipping_date,return_date,shipping providers,delivery_status
1,707,5,244,02-09-2021,Completed,1,99.99,02-09-2021,Payment Successed,03-09-2021,,fedex,Delivered
2,644,2,154,19-12-2023,Cancelled,1,99.99,19-12-2023,Payment Failed,,,,
3,731,5,88,25-08-2022,Completed,1,349.99,25-08-2022,Payment Successed,26-08-2022,,dhl,Delivered
4,749,4,243,23-04-2020,Completed,1,1999.99,23-04-2020,Payment Successed,25-04-2020,,dhl,Delivered
5,271,3,151,29-09-2020,Completed,1,249.99,29-09-2020,Payment Successed,01-10-2020,,fedex,Delivered
6,553,4,233,16-09-2020,Completed,2,199.99,16-09-2020,Payment Successed,21-09-2020,,fedex,Delivered
7,585,5,115,01-11-2020,Completed,1,499.99,01-11-2020,Payment Successed,05-11-2020,,fedex,Delivered
8,607,1,217,06-11-2020,Completed,1,229.99,06-11-2020,Payment Successed,08-11-2020,,fedex,Delivered
9,618,1,165,13-10-2023,Completed,1,229.99,13-10-2023,Payment Successed,16-10-2023,,fedex,Delivered
10,739,5,59,05-02-2021,Completed,1,1199.99,05-02-2021,Payment Successed,09-02-2021,,dhl,Delivered
11,703,3,130,17-11-2020,Completed,2,49.99,17-11-2020,Payment Successed,18-11-2020,,fedex,Delivered
12,580,2,201,13-03-2023,Completed,1,69.99,13-03-2023,Payment Successed,16-03-2023,,fedex,Delivered
13,686,2,205,05-09-2022,Returned,3,399.99,05-09-2022,Refunded ,10-09-2022,21-09-2022,bluedart,Returned 
14,653,2,97,28-12-2020,Completed,1,1299.99,28-12-2020,Payment Successed,02-01-2021,,fedex,Delivered
15,172,5,138,20-11-2022,Inprogress,1,69.99,20-11-2022,Payment Successed,25-11-2022,,bluedart,Shipped
16,570,1,88,21-10-2023,Completed,1,349.99,21-10-2023,Payment Successed,23-10-2023,,fedex,Delivered
17,561,2,164,13-03-2022,Completed,1,499.99,13-03-2022,Payment Successed,14-03-2022,,fedex,Delivered
18,675,5,11,06-01-2024,Returned,1,649.99,06-01-2024,Refunded ,07-01-2024,19-01-2024,dhl,Returned 
19,713,5,188,01-09-2021,Completed,1,299.99,01-09-2021,Payment Successed,06-09-2021,,fedex,Delivered
20,650,1,225,28-10-2020,Completed,1,999.99,28-10-2020,Payment Successed,29-10-2020,,fedex,Delivered
21,582,3,35,03-01-2022,Completed,1,279.99,03-01-2022,Payment Successed,06-01-2022,,fedex,Delivered
22,624,3,115,29-10-2021,Completed,1,499.99,29-10-2021,Payment Successed,31-10-2021,,fedex,Delivered
23,248,4,225,19-04-2023,Completed,1,999.99,19-04-2023,Payment Successed,20-04-2023,,fedex,Delivered
24,713,5,91,09-07-2022,Completed,1,1099.99,09-07-2022,Payment Successed,13-07-2022,,fedex,Delivered
25,727,3,52,05-10-2023,Completed,1,1799.99,05-10-2023,Payment Successed,06-10-2023,,dhl,Delivered
26,616,1,249,16-07-2023,Completed,1,1399.99,16-07-2023,Payment Successed,20-07-2023,,fedex,Delivered
27,732,2,50,03-07-2022,Completed,1,999.99,03-07-2022,Payment Successed,07-07-2022,,dhl,Delivered
28,653,4,12,28-04-2023,Completed,1,599.99,28-04-2023,Payment Successed,01-05-2023,,fedex,Delivered
29,582,4,186,16-07-2021,Completed,1,299.99,16-07-2021,Payment Successed,20-07-2021,,fedex,Delivered
30,667,2,138,06-02-2020,Completed,3,69.99,06-02-2020,Payment Successed,07-02-2020,,fedex,Delivered
31,584,1,1,09-11-2022,Completed,1,199.99,09-11-2022,Payment Successed,14-11-2022,,fedex,Delivered
32,541,3,135,25-06-2021,Completed,1,699.99,25-06-2021,Payment Successed,28-06-2021,,fedex,Delivered
33,610,4,20,12-02-2020,Completed,1,999.99,12-02-2020,Payment Successed,14-02-2020,,fedex,Delivered
34,735,2,122,07-04-2021,Completed,1,299.99,07-04-2021,Payment Successed,12-04-2021,,dhl,Delivered
35,735,5,70,03-05-2021,Completed,1,399.99,03-05-2021,Payment Successed,08-05-2021,,dhl,Delivered
36,712,5,233,10-04-2023,Completed,1,199.99,10-04-2023,Payment Successed,14-04-2023,,fedex,Delivered
37,678,1,34,30-11-2023,Returned,1,279.99,30-11-2023,Refunded ,05-12-2023,18-12-2023,dhl,Returned 
38,691,5,95,05-01-2021,Returned,1,499.99,05-01-2021,Refunded ,07-01-2021,19-01-2021,bluedart,Returned 
39,715,4,123,20-06-2021,Completed,1,229.99,20-06-2021,Payment Successed,23-06-2021,,dhl,Delivered
40,650,5,76,25-02-2021,Completed,1,279.99,25-02-2021,Payment Successed,01-03-2021,,fedex,Delivered
41,577,5,216,19-09-2020,Completed,1,3299.99,19-09-2020,Payment Successed,20-09-2020,,fedex,Delivered
42,706,4,57,03-08-2020,Completed,1,699.99,03-08-2020,Payment Successed,08-08-2020,,fedex,Delivered
43,728,2,171,22-11-2022,Completed,1,129.99,22-11-2022,Payment Successed,24-11-2022,,dhl,Delivered
44,629,2,119,05-02-2022,Completed,1,249.99,05-02-2022,Payment Successed,06-02-2022,,fedex,Delivered
45,546,2,80,14-05-2022,Completed,3,1299.99,14-05-2022,Payment Successed,19-05-2022,,fedex,Delivered
46,724,1,49,27-10-2023,Completed,1,1399.99,27-10-2023,Payment Successed,28-10-2023,,dhl,Delivered
47,732,1,103,03-12-2021,Completed,1,1999.99,03-12-2021,Payment Successed,08-12-2021,,dhl,Delivered
48,666,2,89,24-07-2022,Completed,1,299.99,24-07-2022,Payment Successed,26-07-2022,,fedex,Delivered
49,544,5,154,21-12-2020,Completed,1,99.99,21-12-2020,Payment Successed,26-12-2020,,fedex,Delivered
